year,id_,incom16,income,rincome,happy,mntlhlth
2004,77,AVERAGE,"$25,000 or more",$25000 OR MORE,3,1
2004,85,BELOW AVERAGE,"$10,000 to $14,999",.i:  Inapplicable,2,7
2004,91,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2004,97,AVERAGE,"$25,000 or more",$15000 - 19999,2,5
2004,100,FAR BELOW AVERAGE,.d:  Do not Know/Cannot Choose,LT $1000,1,25
2004,104,AVERAGE,"$25,000 or more",$5000 TO 5999,3,5
2004,121,AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2004,126,ABOVE AVERAGE,.d:  Do not Know/Cannot Choose,$25000 OR MORE,2,1
2004,127,AVERAGE,"$25,000 or more",$25000 OR MORE,3,NA
2004,132,ABOVE AVERAGE,"$25,000 or more",$20000 - 24999,2,7
2004,134,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2004,138,AVERAGE,"$25,000 or more",$20000 - 24999,2,2
2004,141,AVERAGE,"$25,000 or more",.d:  Do not Know/Cannot Choose,3,3
2004,145,AVERAGE,"$25,000 or more",.i:  Inapplicable,3,15
2004,150,AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2004,158,AVERAGE,"$25,000 or more",$25000 OR MORE,1,1
2004,165,AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2004,172,BELOW AVERAGE,"$25,000 or more",$20000 - 24999,2,5
2004,173,AVERAGE,"$1,000 to $2,999",$4000 TO 4999,1,1
2004,174,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,NA
2004,196,ABOVE AVERAGE,"$25,000 or more",LT $1000,2,5
2004,200,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,2
2004,209,AVERAGE,"$10,000 to $14,999",$10000 - 14999,2,2
2004,215,AVERAGE,"$25,000 or more",$25000 OR MORE,3,NA
2004,217,BELOW AVERAGE,"$25,000 or more",$20000 - 24999,2,14
2004,221,AVERAGE,.d:  Do not Know/Cannot Choose,LT $1000,2,2
2004,222,ABOVE AVERAGE,.r:  Refused,.r:  Refused,1,3
2004,224,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2004,226,AVERAGE,"$25,000 or more",$25000 OR MORE,2,4
2004,228,ABOVE AVERAGE,"$25,000 or more",$6000 TO 6999,2,6
2004,231,BELOW AVERAGE,"$25,000 or more",.i:  Inapplicable,1,3
2004,241,.n:  No answer,.r:  Refused,.r:  Refused,3,2
2004,242,AVERAGE,"$25,000 or more",$25000 OR MORE,3,3
2004,244,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,$20000 - 24999,3,1
2004,257,ABOVE AVERAGE,"$20,000 to $24,999",$20000 - 24999,1,5
2004,274,AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2004,279,ABOVE AVERAGE,.r:  Refused,.r:  Refused,2,8
2004,282,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2004,288,BELOW AVERAGE,"$25,000 or more",$6000 TO 6999,3,3
2004,297,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2004,310,AVERAGE,"$25,000 or more",.i:  Inapplicable,2,5
2004,312,AVERAGE,"$25,000 or more",$3000 TO 3999,2,3
2004,315,AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2004,319,BELOW AVERAGE,"$25,000 or more",.n:  No answer,1,3
2004,321,AVERAGE,"$25,000 or more",.n:  No answer,3,5
2004,341,AVERAGE,"$25,000 or more",$6000 TO 6999,3,5
2004,347,FAR ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2004,348,BELOW AVERAGE,"$25,000 or more",$4000 TO 4999,3,2
2004,352,AVERAGE,"$20,000 to $24,999",$20000 - 24999,3,4
2004,368,AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2004,371,AVERAGE,"$25,000 or more",$25000 OR MORE,3,1
